Rank,Land Area (sq mi),City,State,Population
504,45.16,Hardeeville, SC,"3,914"
505,45.10,White Cone, AZ,924
506,45.08,Mount Pleasant, SC,"72,379"
507,45.07,Platinum, AK,42
508,45.06,Kenwood, OK,"1,003"
509,44.99,Okreek, SD,380
510,44.94,Aurora, IL,"199,878"
511,44.93,Asheville, NC,"85,783"
512,44.92,Columbus, MN,"3,940"
513,44.89,Wellington, FL,"59,022"
514,44.83,Ocala, FL,"56,918"
515,44.80,East Bethel, MN,"11,614"
516,44.68,Chino Hills, CA,"76,187"
517,44.58,Pine Bluff, AR,"47,058"
518,44.57,Speculator, NY,360
519,44.51,Three Rivers, CA,"2,278"
520,44.46,Eagle Mountain, UT,"23,468"
521,44.45,Ridgeland, SC,"4,051"
522,44.43,Lake Havasu City, AZ,"52,827"
523,44.42,Togiak, AK,765
524,44.41,Bryan, TX,"78,368"
525,44.40,Grand Rapids, MI,"190,739"
526,44.37,Mineral, CA,222
527,44.29,St. Mary'S, AK,551
528,44.26,Bella Vista, AR,"27,273"
529,44.18,Fellsmere, FL,"5,312"
530,44.15,Evansville, IN,"120,220"
531,44.14,Shawnee, OK,"30,609"
532,44.13,Petersburg, AK,"2,926"
533,44.12,Eielson, AK,"2,647"
534,43.99,Saint Joseph, MO,"77,040"
535,43.94,Alamo Lake, AZ,22
536,43.91,Womens Bay, AK,854
537,43.90,Wesley Chapel, FL,"46,935"
538,43.87,New Braunfels, TX,"61,712"
539,43.79,Rocky Mount, NC,"57,071"
540,43.74,Anderson, AK,257
541,43.72,Eugene, OR,"158,131"
542,43.67,Moapa Valley, NV,"6,772"
543,43.59,Piedmont, OK,"6,232"
544,43.46,Hoback, WY,"1,344"
545,43.45,Williams, AZ,"3,037"
546,43.41,Billings, MT,"106,979"
547,43.27,The Woodlands, TX,"102,911"
548,43.18,Bethel, AK,"6,295"
549,43.15,Vancleave, MS,"6,147"
550,43.14,Camp Verde, AZ,"10,965"
551,43.12,Claremont, NH,"13,169"
552,43.11,Duncan, OK,"23,364"
553,43.07,Borrego Springs, CA,"2,359"
554,43.01,Rock Creek, MN,"1,778"
555,42.94,Johnson City, TN,"64,614"
556,42.93,Danville, VA,"42,704"
557,42.88,Lakewood, CO,"145,880"
558,42.78,Bunkerville, NV,"1,431"
559,42.76,Pasadena, TX,"152,171"
560,42.72,Kingsland, GA,"16,147"
561,42.61,Battle Creek, MI,"51,963"
562,42.56,Roanoke, VA,"97,949"
563,42.52,Warm Springs, OR,"3,148"
564,42.51,Bolivar Peninsula, TX,"1,959"
565,42.46,Houck, AZ,"1,170"
566,42.43,Fontana, CA,"201,355"
567,42.39,Muskogee, OK,"38,937"
568,42.37,Diamond Ridge, AK,"1,144"
569,42.34,Bossier City, LA,"64,895"
570,42.29,Elk River, MN,"23,346"
571,42.22,Decatur, IL,"75,088"
572,42.19,Elk Grove, CA,"158,455"
573,42.06,Lake Charles, LA,"73,503"
574,42.01,Catalina Foothills, AZ,"50,643"
575,42.00,Millville, NJ,"28,603"
576,41.97,Point Possession, AK,3
577,41.95,Odessa, TX,"107,325"
578,41.95,Lance Creek, WY,25
579,41.89,Danbury, CT,"82,781"
580,41.85,Shawnee, KS,"63,597"
581,41.82,Clinton, MS,"25,486"
582,41.80,Springdale, AR,"73,789"
583,41.67,Provo, UT,"114,804"
584,41.65,Texarkana, AR,"30,015"
585,41.56,Nulato, AK,272
586,41.48,Bear Valley Springs, CA,"5,058"
587,41.48,Simi Valley, CA,"125,699"
588,41.46,South Bend, IN,"100,422"
589,41.41,Benson, AZ,"5,075"
590,41.39,Sherman, TX,"39,119"
591,41.39,Flower Mound, TX,"67,630"
592,41.38,Barstow, CA,"23,110"
593,41.37,Anderson, IN,"55,789"
594,41.36,Hilton Head Island, SC,"38,497"
595,41.34,Prescott, AZ,"40,130"
596,41.29,Santa Rosa, CA,"170,782"
597,41.25,Southaven, MS,"50,389"
598,41.23,Oceanside, CA,"171,400"
599,41.23,Franklin, TN,"66,596"
600,41.22,Galveston, TX,"48,513"
601,41.19,Mountain Ranch, CA,"1,369"
602,41.18,Brentwood, TN,"39,059"
603,41.02,Middletown, CT,"47,424"
604,40.97,Council Bluffs, IA,"62,261"
605,40.94,Show Low, AZ,"10,754"
606,40.89,Hammonton, NJ,"14,796"
607,40.84,Alexander City, AL,"14,815"
608,40.84,The Acreage, FL,"37,773"
609,40.75,Apple Valley, UT,977
610,40.72,Roswell, GA,"92,364"
611,40.61,Keystone, CO,"1,243"
612,40.60,Liberty, TX,"8,696"
613,40.47,Pittsfield, MA,"44,226"
614,40.38,Buffalo, NY,"259,959"
615,40.32,Lebanon, NH,"13,474"
616,40.31,Saint Paul, AK,612
617,40.17,Fortuna Foothills, AZ,"27,181"
618,40.12,Second Mesa, AZ,"1,016"
619,40.09,Goose Creek, SC,"38,545"
620,40.04,Saint Cloud, MN,"66,038"
621,40.02,Yucca Valley, CA,"21,083"
622,39.96,Fort Myers, FL,"66,167"
623,39.93,Tempe, AZ,"166,975"
624,39.85,Rancho Cucamonga, CA,"170,170"
625,39.85,Bessemer, AL,"27,202"
626,39.81,Harlingen, TX,"65,677"
627,39.77,Pryor, MT,665
628,39.75,Torrington, CT,"35,774"
