Rank,Crime Index,City,State,Population
8621,469,Silver Lake, WI,"2,257"
8622,469,Hamburg, NJ,"3,225"
8623,469,Harriman, NY,"2,771"
8624,469,Bluffs, IL,742
8625,469,Ovilla, TX,"3,460"
8626,469,Fox Lake, WI,"1,544"
8627,469,Fair Lawn, NJ,"32,962"
8628,469,Alfred, NY,"4,278"
8629,468,Worth, IL,"10,827"
8630,468,Central Lake, MI,"1,063"
8631,468,Roman Forest, TX,"2,008"
8632,468,Honaker, VA,"1,626"
8633,468,Kittanning, PA,"3,977"
8634,468,Inman, KS,"1,240"
8635,467,Southampton, MA,0
8636,467,Hibbing, MN,"16,330"
8637,467,Englewood Cliffs, NJ,"5,346"
8638,466,Loveland, OH,"12,425"
8639,466,Kingston, NH,0
8640,466,Chester, WV,"2,564"
8641,466,Port Washington, WI,"11,401"
8642,466,Dawson, MN,"1,538"
8643,466,Moroni, UT,"1,407"
8644,464,Soda Springs, ID,"3,004"
8645,464,Falmouth, ME,"2,179"
8646,464,Smithfield, UT,"10,233"
8647,464,Roscoe, IL,"10,724"
8648,463,Hurt, VA,"1,388"
8649,463,Alamo, GA,"4,701"
8650,463,Ariton, AL,720
8651,463,Northbrook, IL,"33,396"
8652,462,Anton, TX,"1,280"
8653,462,Gallitzin, PA,"1,616"
8654,462,Dyersville, IA,"4,178"
8655,462,Altha, FL,619
8656,462,Springboro, OH,"17,499"
8657,462,Denison, IA,"8,370"
8658,462,Clifton Springs, NY,"2,293"
8659,461,Portageville, MO,"3,184"
8660,461,Los Altos, CA,"29,762"
8661,461,Minturn, CO,"1,041"
8662,461,South Connellsville, PA,"1,695"
8663,460,South Berwick, ME,0
8664,460,Medina, OH,"26,544"
8665,460,New Hampton, IA,"3,555"
8666,460,Dunstable, MA,0
8667,460,Pewaukee, WI,"13,599"
8668,460,Little Elm, TX,"30,213"
8669,459,Hazlet, NJ,0
8670,459,Medford, NJ,0
8671,459,Fall River, WI,"1,563"
8672,459,Chatham, IL,"12,131"
8673,459,New Berlin, NY,"1,240"
8674,459,Schoharie, NY,855
8675,459,Dayton, MN,"4,840"
8676,458,Baden, PA,"4,089"
8677,458,Boonton, NJ,"8,424"
8678,458,Oxford, NY,"1,565"
8679,458,Wickliffe, OH,"12,671"
8680,458,Ipswich, MA,"4,003"
8681,458,Homer City, PA,"1,674"
8682,457,Milton, MA,"27,204"
8683,457,Munising, MI,"2,116"
8684,457,Lisle, IL,"22,626"
8685,456,Hinsdale, MA,0
8686,456,Commercial Point, OH,"1,591"
8687,456,Ashland, ME,737
8688,456,Edinburg, VA,"1,282"
8689,456,Marco Island, FL,"16,921"
8690,456,Glenview, IL,"45,400"
8691,455,Archer City, TX,"1,619"
8692,455,Bushkill, PA,0
8693,455,Whitefish Bay, WI,"14,132"
8694,455,Little Silver, NJ,"5,920"
8695,455,Jacksonville, OR,"2,816"
8696,455,Weare, NH,0
8697,454,Tiburon, CA,"9,100"
8698,454,Raceland, KY,"2,607"
8699,454,State Center, IA,"1,475"
8700,454,Barrington, IL,"10,830"
8701,454,Saratoga, CA,"30,627"
8702,453,Welaka, FL,752
8703,453,Crystal Falls, MI,"1,544"
8704,453,Piedmont, OK,"6,232"
8705,453,Lacon, IL,"1,759"
8706,452,Monticello, IA,"3,801"
8707,452,East Hampton, CT,"2,402"
8708,452,Junction City, OR,"5,566"
8709,452,West Tisbury, MA,0
8710,451,Emsworth, PA,"2,471"
8711,451,Benld, IL,"1,773"
8712,451,Coal Valley, IL,"3,692"
8713,451,Mentor On The Lake, OH,"7,430"
8714,451,Sugar Hill, NH,0
8715,450,Sylvania, AL,"1,979"
8716,450,Carmel, IN,"83,474"
8717,450,Conway, PA,"2,166"
8718,450,Verdigris, OK,"4,117"
8719,450,Parkland, FL,"25,895"
8720,450,Narberth, PA,"4,295"
8721,450,Maynard, MA,"10,314"
8722,449,Longboat Key, FL,"7,003"
8723,449,Monticello, IL,"5,400"
8724,449,Newtown, OH,"2,670"
8725,449,Powhatan Point, OH,"1,550"
8726,449,Marengo, IL,"7,451"
8727,449,New Martinsville, WV,"5,322"
8728,449,Middletown, NJ,0
8729,449,Rogers, MN,"11,747"
8730,448,Cleveland, MO,643
8731,448,Haverford, PA,0
8732,448,Monte Sereno, CA,"3,462"
8733,448,Millersburg, KY,843
8734,448,Morris Plains, NJ,"5,635"
8735,447,New Lenox, IL,"24,747"
8736,447,Independence, VA,"1,259"
8737,447,Blanchardville, WI,805
8738,446,Yarmouth, ME,"5,645"
8739,446,Savoy, MA,0
8740,446,Fox Point, WI,"6,695"
8741,446,Newton, NH,0
8742,445,Amity, PA,0
8743,445,Dewitt, MI,"4,606"
8744,445,Clint, TX,892
8745,445,Barrington, RI,"16,455"
8746,445,Maryville, IL,"7,727"
8747,444,Palisade, CO,"2,635"
8748,444,Brunswick, OH,"34,438"
8749,444,West Lafayette, OH,"2,239"
8750,444,Taylor Mill, KY,"6,682"
8751,444,Verona, NJ,"12,635"
8752,443,Rancho Viejo, TX,"2,440"
8753,443,Shoreview, MN,"25,673"
8754,443,Scotch Plains, NJ,"22,821"
8755,443,Winchester, MA,"21,863"
8756,443,Lowellville, OH,"1,132"
8757,443,Jefferson, IA,"4,296"
8758,443,Concord, MA,0
8759,442,Williamsburg, PA,"1,308"
8760,442,Trenton, IL,"2,716"
8761,442,Wauconda, IL,"13,189"
8762,442,Swifton, AR,734
8763,442,Laguna Niguel, CA,"64,299"
8764,442,Woodbranch, TX,"1,345"
8765,441,Hicksville, OH,"3,300"
8766,441,West Liberty, KY,"3,248"
8767,441,Ocean Pines, MD,"10,727"
8768,441,Mattawa, WA,"4,502"
8769,441,Mohnton, PA,"3,048"
8770,441,Minooka, IL,"11,225"
8771,441,Litchfield, NH,0
8772,440,Moundridge, KS,"1,782"
8773,440,Wampum, PA,657
8774,440,Eagle, WI,"1,864"
8775,440,Englishtown, NJ,"2,101"
8776,439,Blairsville, GA,776
8777,439,Hanna, WY,798
8778,439,Grandin, MO,169
8779,438,Canastota, NY,"4,741"
8780,438,Waunakee, WI,"12,613"
8781,438,Woodstock, NY,"1,922"
8782,438,Bloomfield, IA,"2,636"
8783,438,Gilmanton, NH,0
8784,438,Roaming Shores, OH,"1,804"
8785,438,Emmetsburg, IA,"3,844"
8786,436,Indian Head Park, IL,"3,837"
8787,436,Upton, MA,"3,319"
8788,436,Iron Ridge, WI,927
8789,436,Moravia, NY,"1,512"
8790,436,Vernon, AL,"2,185"
8791,436,Ennis, MT,843
8792,436,Pompton Lakes, NJ,"11,162"
8793,435,Dobbs Ferry, NY,"11,001"
8794,435,Piermont, NY,"2,541"
8795,435,Morton, IL,"16,493"
8796,435,Country Club Village, MO,"2,797"
8797,435,Mountain Village, CO,"1,291"
8798,435,Mundelein, IL,"31,498"
8799,435,Aliso Viejo, CA,"49,437"
8800,434,Canyon, TX,"13,882"
8801,434,Wilber, NE,"1,692"
8802,434,Galena, IL,"3,358"
8803,434,Plainfield, IL,"40,641"
8804,434,Morley, MO,683
8805,434,Runaway Bay, TX,"1,653"
8806,434,Gruver, TX,"1,097"
8807,434,Kimberly, AL,"2,767"
8808,433,Davidson, NC,"11,492"
8809,433,Baldwin, PA,"19,791"
8810,433,Olmsted Falls, OH,"8,943"
8811,433,Washingtonville, NY,"5,837"
8812,433,Brighton, IL,"2,122"
8813,433,Lemont, IL,"16,376"
8814,433,Georgetown, CO,"1,069"
8815,433,Prairie City, OR,887
8816,433,Mount Prospect, IL,"54,589"
8817,432,Marysville, PA,"2,536"
8818,432,Decatur, IN,"9,511"
8819,432,Elm Grove, WI,"5,985"
8820,432,Scottsville, KY,"4,295"
8821,431,New Madrid, MO,"3,063"
8822,431,New Vienna, OH,"1,475"
8823,431,Elkins, AR,"2,759"
8824,430,Mountain View, OK,832
8825,430,Palos Heights, IL,"12,572"
8826,430,Ottawa Hills, OH,"4,508"
8827,430,Sycamore, OH,"1,126"
8828,430,Summit, NJ,"21,826"
8829,430,Steele, ND,722
8830,430,Venus, TX,"3,110"
8831,429,Foster, RI,0
8832,429,Mccurtain, OK,450
8833,429,Horsham, PA,"14,936"
8834,429,Buhler, KS,"1,485"
8835,429,Hooker, OK,"2,082"
8836,429,Thornton, NH,0
8837,428,Lyndeborough, NH,0
8838,428,Ellis, KS,"2,028"
8839,428,Greensburg, KY,"2,442"
8840,428,Belvedere, CA,"2,036"
8841,428,Hawarden, IA,"2,556"
8842,428,Lynbrook, NY,"19,517"
8843,428,West Newbury, MA,0
8844,428,Waverly, PA,529
8845,428,Bella Vista, AR,"27,273"
8846,427,Palatine, IL,"69,015"
8847,427,Brielle, NJ,"4,772"
8848,427,Port Dickinson, NY,"1,639"
8849,427,Highland Heights, KY,"7,152"
8850,427,Shannon Hills, AR,"3,356"
8851,427,Beecher, IL,"4,568"
8852,427,Sturgis, KY,"2,308"
8853,426,Wartrace, TN,604
8854,426,Ramsey, NJ,"14,650"
8855,426,Cedar Grove, NJ,"12,603"
8856,426,Imperial, CA,"15,782"
8857,425,Byrnes Mill, MO,"2,795"
8858,425,Mokena, IL,"18,804"
8859,425,Essex, MA,"1,733"
8860,425,Newmarket, NH,"5,589"
8861,425,Burr Ridge, IL,"10,678"
8862,425,Frankfort, IL,"18,100"
8863,425,Boxborough, MA,0
8864,425,Morrice, MI,"1,065"
8865,425,Newtown, PA,"2,240"
8866,424,Shiloh, GA,658
8867,424,Swans Island, ME,0
8868,424,Kechi, KS,"2,291"
8869,424,Lincolnshire, IL,"7,270"
8870,423,Andover, MA,"8,953"
8871,423,Argyle, TX,"3,449"
8872,423,Lake Waukomis, MO,936
8873,422,Bradbury, CA,845
8874,422,Eagle Lake, MN,"2,532"
8875,422,Norwood, MO,636
8876,421,Payne, OH,"1,098"
8877,421,Windermere, FL,"3,038"
8878,421,Farmington, MN,"21,861"
8879,421,Naylor, MO,679
8880,420,Kenilworth, IL,"2,648"
8881,420,Sammamish, WA,"49,077"
8882,420,Delhi, NY,"3,023"
8883,420,Groton Long Point, CT,445
8884,420,Wilbur, WA,724
8885,419,Orange, OH,"3,292"
8886,419,West Linn, OR,"25,710"
8887,419,Macksville, KS,529
8888,419,Auburn, PA,879
8889,418,Cayuga Heights, NY,"3,756"
8890,418,Danbury, TX,"1,486"
8891,418,Garfield, WA,479
8892,418,Lee, NH,0
8893,417,Swanton, VT,"2,389"
8894,417,West Yellowstone, MT,"1,434"
8895,417,Sac City, IA,"2,175"
8896,416,Rye, NH,0
8897,416,Pinckneyville, IL,"5,600"
8898,416,Lexington, VA,"7,114"
8899,416,Pleasant Hills, PA,"8,291"
8900,416,Freeport, PA,"1,796"
8901,415,Palisades Park, NJ,"20,066"
8902,415,Granby, CT,0
8903,415,Kronenwetter, WI,"7,330"
8904,415,Jourdanton, TX,"4,034"
8905,414,Sedgwick, KS,"1,925"
8906,414,Canfield, OH,"7,443"
8907,414,Lanesboro, MA,0
8908,414,Plum, PA,"27,386"
8909,414,New Haven, MI,"4,665"
8910,414,Dighton, MA,0
8911,413,Sunray, TX,"2,178"
8912,413,Cambridge Springs, PA,"2,530"
8913,413,Linden, MI,"3,919"
8914,413,Winterville, GA,"1,019"
8915,412,Decorah, IA,"8,058"
8916,412,Helmetta, NJ,"2,390"
8917,412,Bow, NH,0
8918,412,Spotswood, NJ,"8,359"
8919,412,Weedsport, NY,"1,910"
8920,412,Fairport, NY,"5,364"
8921,411,Mount Morris, IL,"3,155"
8922,410,Mascoutah, IL,"7,675"
8923,410,Shawneetown, IL,"1,224"
8924,410,Portville, NY,"1,135"
8925,410,Demorest, GA,"1,857"
8926,410,Uniontown, KY,851
8927,410,Dryden, MI,"1,239"
8928,409,Oronogo, MO,"2,673"
8929,409,Boylston, MA,0
8930,409,Highland Falls, NY,"3,852"
8931,409,Gnadenhutten, OH,"1,473"
8932,409,Hurley, NM,"1,232"
8933,409,Girardville, PA,"1,356"
8934,408,Lake Villa, IL,"8,860"
8935,408,Chenoa, IL,"1,806"
8936,408,Milbridge, ME,0
8937,408,Allentown, NJ,"1,828"
8938,408,Bogota, NJ,"8,277"
8939,407,Hudson, MA,"15,212"
8940,407,Sandown, NH,0
8941,407,Elmer, NJ,"1,375"
8942,406,Newbury, MA,0
8943,406,Pawnee, IL,"2,786"
8944,406,Blooming Grove, NY,0
8945,406,Beattyville, KY,"1,806"
8946,406,Berthold, ND,394
8946,406,Pendergrass, GA,471
8948,405,Helena, AL,"16,752"
8949,405,Collinwood, TN,941
8950,405,New Albany, OH,"8,169"
8951,405,Bel Aire, KS,"6,923"
8952,405,Solon, OH,"23,177"
8953,405,Norfolk, NY,"1,417"
8954,404,Hinckley, IL,"2,052"
8955,404,Glastonbury, CT,0
8956,404,Halifax, PA,910
8957,404,Stanford, KY,"3,686"
8958,404,Warson Woods, MO,"1,865"
8959,403,Lemmon, SD,"1,356"
8960,403,Winona Lake, IN,"4,934"
8961,403,Wheaton, IL,"53,406"
8962,403,Mifflinburg, PA,"3,541"
8963,403,Sewall's Point, FL,"1,994"
8964,402,Plain City, OH,"4,210"
8965,402,Madison, MS,"24,871"
8966,402,Saint John, IN,"15,456"
8967,402,East Conemaugh, PA,"1,153"
8968,402,Benham, KY,533
8969,402,Middleport, OH,"2,320"
8970,401,Lakemoor, IL,"6,576"
8971,401,Middlesex, NJ,"13,766"
8972,400,Saratoga Springs, UT,"21,061"
8973,400,Itasca, IL,"8,579"
8974,400,Armour, SD,902
8975,400,Blooming Prairie, MN,"1,836"
8976,400,Pennington, AL,218
8977,400,Cranford, NJ,"21,941"
8978,399,Harveys Lake, PA,"2,795"
8979,399,New Market, VA,"2,294"
8980,399,Spencer, OH,673
8981,399,Fanwood, NJ,"7,475"
8982,398,Merrimac, MA,0
8983,398,Old Forge, PA,"8,265"
8984,397,Westlake, OH,"32,513"
8985,397,Inez, KY,"1,021"
8986,397,Rye, NY,"15,892"
8987,397,Claflin, KS,665
8988,397,Fair Oaks Ranch, TX,"6,534"
8989,396,Akron, NY,"2,850"
8990,396,Beaver Meadows, PA,713
8991,396,Fayette, MO,"2,707"
8992,396,Independence, WI,"1,557"
8993,396,Herscher, IL,"1,519"
8994,396,Peck, MI,750
8995,396,Mentone, AL,417
8996,396,Montgomery, NY,"4,159"
8997,395,Hopewell, NJ,"1,891"
8998,395,Lincoln, ND,"2,864"
8999,395,Ligonier, IN,"4,344"
9000,395,Mont Vernon, NH,0
9001,395,Orono, MN,"7,690"
9002,395,Roseto, PA,"1,772"
9003,395,Hartleton, PA,281
9004,394,New Philadelphia, OH,"17,334"
9005,394,Mamaroneck, NY,"19,133"
9006,394,Worland, WY,"5,445"
9007,394,Clark, NJ,"14,349"
9008,393,Cape Elizabeth, ME,0
9009,393,Winnetka, IL,"12,366"
9010,393,Woodstock, VT,948
9011,393,Highland Heights, OH,"8,324"
9012,393,Nottingham, NH,0
9013,393,Clayton, NY,"1,891"
9014,392,Elk Point, SD,"2,075"
9015,392,Greenhills, OH,"3,597"
9016,392,Hinton, OK,"3,199"
9017,392,Blairstown, NJ,505
9018,391,Rock Port, MO,"1,384"
9019,391,North Charleroi, PA,"1,255"
9020,391,Mapleton, UT,"8,545"
9021,390,Glenville, WV,"1,906"
9022,390,North Reading, MA,0
9023,390,Whitehouse, OH,"4,391"
9024,390,Bayou Vista, TX,"1,970"
9025,390,Cleveland, WI,"1,599"
9026,390,Flower Mound, TX,"67,630"
9027,390,Carterville, IL,"5,635"
9028,390,Bethel Park, PA,"32,338"
9029,390,Liberty, PA,"2,536"
9030,390,Strasburg, PA,"2,843"
9031,389,Oriskany, NY,"1,263"
9032,389,Hagerman, ID,"1,034"
9033,389,Florence, MS,"4,249"
9034,389,Bayport, MN,"3,581"
9035,389,New Franklin, OH,"14,245"
9036,389,Lamont, OK,318
9037,389,New Ipswich, NH,0
9038,389,Cummington, MA,0
9039,388,Winter Harbor, ME,400
9040,388,Lordsburg, NM,"2,831"
9041,388,Pioneer Village, KY,"2,740"
9042,388,Eagle Butte, SD,"1,369"
9043,388,Rowlesburg, WV,814
9044,388,Cross Plains, WI,"3,755"
9045,387,Trophy Club, TX,"9,451"
9046,387,Harrison, NY,"27,822"
9047,387,Holyoke, CO,"2,339"
9048,387,Franklin Springs, GA,981
9049,387,Fall Creek, WI,"1,316"
9050,387,Robbinsville, NJ,"3,333"
9051,387,Kincaid, IL,"1,666"
9052,386,Plainville, KS,"1,776"
9053,386,Boston Heights, OH,"1,302"
9054,386,Hartford, KY,"2,692"
9055,386,Mount Zion, IL,"5,830"
9056,385,Paulding, OH,"3,631"
9057,385,Long Beach, NY,"33,522"
9058,385,Claysville, PA,769
9059,385,Osceola Mills, PA,"1,255"
9060,385,Gouldsboro, ME,0
9061,384,Twinsburg, OH,"18,784"
9062,384,Ballwin, MO,"30,478"
9063,384,Sistersville, WV,"1,583"
9064,383,Cando, ND,"1,132"
9065,383,Stewart, MN,535
9066,383,Essex Fells, NJ,"2,140"
9067,383,Huntington Woods, MI,"6,310"
9068,383,Montpelier, LA,249
9069,383,Walton Hills, OH,"2,272"
9070,383,North Andover, MA,0
9071,383,Grafton, MA,0
9072,383,Heber, UT,"12,434"
9073,383,Hollywood, AL,980
9074,382,Vernon, MI,"1,020"
9075,382,Roseville, OH,"2,283"
9076,382,Severance, CO,"3,352"
9077,382,Sykesville, MD,"4,426"
9078,382,Hornbeak, TN,392
9079,381,Biltmore Forest, NC,"1,459"
9080,381,Bennington, NE,"1,357"
9081,380,Whigham, GA,604
9082,380,Lino Lakes, MN,"20,671"
9083,380,Plainfield, CT,0
9084,380,Shiocton, WI,916
9085,380,Martinsburg, MO,355
9086,380,Arcola, IL,"3,017"
9087,380,Palos Verdes Estates, CA,"13,568"
9088,380,Frankfort, NY,"2,577"
9089,380,Orange City, IA,"6,130"
9090,379,Bismarck, MO,"1,296"
9091,379,Bedminster, PA,0
9092,379,Norwich, VT,"1,089"
9093,378,Coalgate, OK,"1,920"
9094,378,Hooversville, PA,651
9095,378,Southside Place, TX,"1,816"
9096,377,Basile, LA,"1,965"
9097,377,Montville, OH,0
9098,377,Brant, NY,0
9099,376,New Boston, NH,0
9100,376,Attica, NY,"2,609"
9101,375,Rockaway, NJ,"6,480"
9102,375,Alcester, SD,785
9103,375,Henrietta, MO,352
9104,375,Columbia, AL,780
9105,375,Columbine Valley, CO,"1,258"
9106,375,Mine Hill, NJ,0
9107,375,Loami, IL,840
9108,374,Sheffield, PA,"1,202"
9109,374,Reading, MA,"25,176"
9110,374,Haymarket, VA,"1,736"
9111,374,Fort Supply, OK,519
9112,374,Minonk, IL,"2,160"
9113,374,Evans City, PA,"1,788"
9114,373,Erie, IL,"1,594"
9115,373,Glenwood, MN,"2,530"
9116,373,Northborough, MA,"6,613"
9117,373,Hiram, OH,"1,338"
9118,373,Jefferson Hills, PA,"10,984"
9119,373,Randolph, VT,"2,361"
9120,373,Berlin, PA,"2,036"
9121,372,Hyde Park, NY,"2,314"
9122,372,Middleton, MA,0
9123,372,Goshen, NY,"5,417"
9124,372,Oakwood Hills, IL,"2,079"
9125,372,Johns Creek, GA,"80,979"
9126,372,Grant Park, IL,"1,323"
9127,371,Shirley, MA,"1,321"
9128,371,Middlebury, CT,0
9129,371,Sorrento, LA,"1,598"
9130,371,Maywood, NJ,"9,651"
9131,371,Kirtland Hills, OH,690
9132,371,Leonia, NJ,"9,051"
9133,370,Cedarburg, WI,"11,485"
9134,370,Capitan, NM,"1,261"
9135,369,Crystal Lakes, MO,406
9136,369,Sandy Lake, PA,636
9137,369,Dallas, PA,"2,806"
9138,368,Cornersville, TN,"1,161"
9139,368,Dupont, WA,"8,851"
9140,368,Akron, PA,"3,923"
9141,368,Harvard, MA,0
9142,368,Shrewsbury, MA,0
9143,368,Hinckley, OH,0
9144,368,Newville, AL,429
9145,367,Hudson, IL,"1,918"
9146,367,Brillion, WI,"3,183"
9147,367,Oakland, MO,"1,377"
9148,367,Alburtis, PA,"2,372"
9149,366,Fleming Neon, KY,"1,002"
9150,366,Jackson, WI,"6,773"
9151,366,Round Lake Park, IL,"7,758"
9152,366,Wenonah, NJ,"2,115"
9153,366,Gearhart, OR,"1,592"
9154,366,Unionville, MO,"1,960"
9155,366,Ben Avon, PA,"1,755"
9156,365,Geneva, IL,"21,662"
9157,365,Suffield, CT,0
9158,365,Hampshire, IL,"6,053"
9159,365,Plattekill, NY,"1,463"
9160,365,Hillsboro, ND,"1,692"
9161,365,Signal Mountain, TN,"8,416"
9162,365,Westfield, NJ,"30,647"
9163,364,Caldwell, NJ,"7,864"
9164,364,Ovid, MI,"1,594"
9165,364,Ossining, NY,"25,232"
9166,364,Lead, SD,"3,097"
9167,364,Filer, ID,"2,576"
9168,364,Woodward, PA,132
9169,364,Williamsburg, IA,"3,105"
9170,363,Bethel Springs, TN,847
9171,363,Annapolis, MO,420
9172,363,Highland, WI,914
9173,363,North Newton, KS,"1,926"
9174,363,Paxton, MA,0
9175,363,Poynette, WI,"2,516"
9176,362,Steele, AL,"1,021"
9177,362,Wanaque, NJ,"11,243"
9178,362,Athens, IL,"1,996"
9179,362,Hinsdale, IL,"16,898"
9180,362,Los Altos Hills, CA,"8,244"
9181,362,Olyphant, PA,"5,178"
9182,361,Port Sanilac, MI,506
9183,361,Belle Meade, TN,"2,930"
9184,361,Fishers, IN,"81,060"
9185,361,Muskego, WI,"24,387"
9186,361,Patton, PA,"1,858"
9187,360,River Hills, WI,"1,501"
9188,360,Florida, NY,"2,842"
9189,360,Thorsby, AL,"2,039"
9190,360,Beaver Dam, KY,"3,532"
9191,360,Breese, IL,"4,577"
9192,360,Richmond, VT,702
9193,359,Allen, OK,990
9194,359,Canton, CT,0
9195,359,Hazel Green, WI,"1,173"
9196,359,Tarrytown, NY,"11,423"
9197,359,Adair Village, OR,881
9198,358,Raymond, MS,"2,160"
9199,358,Hampton, PA,656
9200,358,Newbury, NH,0
9201,358,Portland, CT,"5,634"
9202,358,Silver Spring, PA,0
9203,357,Colleyville, TX,"23,928"
9204,357,Silver Bay, MN,"1,752"
9205,357,Martindale, TX,"1,575"
9206,356,La Barge, WY,581
9207,356,Avon, CT,0
9208,356,Heidelberg, PA,"1,321"
9209,356,Winfield, WV,"2,538"
9210,356,Minnetrista, MN,"6,661"
9211,355,Georgetown, IN,"3,036"
9212,355,Dayton, VA,"1,844"
9213,355,Ellendale, DE,335
9214,355,Dwight, IL,"4,104"
9215,355,Glendale, MO,"5,926"
9216,355,North Sioux City, SD,"2,551"
9217,354,Highfill, AR,596
9218,354,Napoleon, ND,774
9219,353,Alstead, NH,0
9220,353,Midway, PA,"1,912"
9221,353,Castleton, VT,"1,238"
9222,353,Pequannock, NJ,0
9223,353,Dunbar, PA,"1,083"
9224,353,Friendship, NY,"1,138"
9225,352,Manchester Township, NJ,0
9226,352,Syracuse, NE,"1,887"
9227,352,Emlenton, PA,705
9228,352,Lincoln Park, NJ,"10,515"
9229,351,Pomeroy, OH,"1,705"
9230,351,Lithopolis, OH,"1,350"
9231,351,Chagrin Falls, OH,"4,099"
9232,351,Ropesville, TX,403
9233,351,Stonewall, LA,"1,954"
9234,350,Loogootee, IN,"2,721"
9235,350,Shohola, PA,0
9236,350,Palos Hills, IL,"17,584"
9237,350,Lake City, AR,"2,100"
9238,350,Plainview, NE,967
9239,350,Polo, MO,590
9240,350,Mechanicsburg, OH,"1,823"
9241,349,Thayer, MO,"2,157"
9242,349,Bellwood, PA,"1,810"
9243,349,Bethel, CT,"9,471"
9244,349,Edina, MO,"1,142"
9245,349,Bolivar, NY,"1,136"
9246,348,Fort Lee, NJ,"36,048"
9247,348,Cleveland, AL,"1,340"
9248,348,Cortland, IL,"4,375"
9249,348,Marlboro, NJ,0
9250,347,Boonville, NY,"2,120"
9251,347,Allendale, NJ,"6,666"
9252,346,Warwick, NY,"6,783"
9253,346,Hammondville, AL,599
9254,346,Wenham, MA,0
9255,346,Cameron, WV,"1,043"
9256,346,Ivyland, PA,"1,016"
9257,346,New Deal, TX,779
9258,346,Leland Grove, IL,"1,521"
9259,346,Stratham, NH,0
9260,345,Holliday, TX,"1,717"
9261,345,Simpsonville, KY,"2,581"
9262,345,Toronto, OH,"4,961"
9263,345,Denville, NJ,0
9264,345,Melrose, MN,"3,599"
9265,345,Liberty, KY,"1,987"
9266,344,River Edge, NJ,"11,483"
9267,344,Garner, IA,"3,107"
9268,344,Hamilton, MA,0
9269,344,Solebury, PA,0
9270,343,Northwood, ND,750
9271,343,Mission Hills, KS,"3,555"
9272,342,Spring Grove, IL,"5,390"
9273,342,Ball, LA,"4,005"
9274,342,Apollo, PA,"1,534"
9275,342,Brookfield, CT,0
9276,342,East Millinocket, ME,"1,521"
9277,342,Elkhorn, NE,"6,062"
9278,341,Mount Arlington, NJ,"5,140"
9279,341,South Palm Beach, FL,"1,277"
9280,341,Readington, NJ,0
9281,341,Bryn Athyn, PA,"1,348"
9282,341,Standish, MI,"1,742"
9283,341,Fayette City, PA,560
9284,340,Langhorne, PA,"1,503"
9285,340,Rosalia, WA,607
9286,339,Kress, TX,631
9287,339,Madawaska, ME,"2,825"
9288,339,Romney, WV,"2,137"
9289,339,Eskridge, KS,494
9290,338,Streetsboro, OH,"16,152"
9291,338,Manor, PA,"3,261"
9292,338,Rancho Santa Margarita, CA,"48,758"
9293,338,Jeffersonville, GA,"1,160"
9294,338,Wakefield, KS,"1,034"
9295,337,Cheshire, CT,0
9296,337,Auburn, MI,"2,063"
9297,337,Mount Zion, GA,"1,817"
9298,337,Hodges, AL,307
9299,336,Dumont, NJ,"17,706"
9300,336,Nescopeck, PA,"1,700"
9301,336,Glen Carbon, IL,"13,095"
9302,335,Wellesley, MA,"28,858"
9303,335,Hidden Hills, CA,"1,749"
9304,335,Corcoran, MN,"5,482"
9305,335,Fairview, TX,"1,090"
9306,335,Janesville, MN,"2,685"
9307,334,New Richland, MN,"1,200"
9308,334,Great Bend, PA,749
9309,334,Meadow Vale, KY,673
9310,334,Beckemeyer, IL,988
9311,334,Emma, MO,270
9312,333,Sherborn, MA,0
9313,333,Haskell, OK,"1,760"
9314,333,Blawnox, PA,"1,512"
9315,333,Brodhead, KY,"1,341"
9316,332,Winneconne, WI,"2,506"
9317,332,New Middletown, OH,"1,661"
9318,332,Pleasant Hope, MO,619
9319,331,Homer, IL,"1,159"
9320,331,Timberville, VA,"2,557"
9321,331,West Grove, PA,"2,856"
9322,331,Hamburg, MI,0
9323,331,Bloomingdale, NJ,"7,808"
9324,331,Wood Ridge, NJ,"8,249"
9325,331,Madison, NJ,"16,043"
9326,331,Humboldt, IA,"4,663"
9327,330,Greenfield, IL,"1,346"
9328,330,Monroe, CT,0
9329,330,Rowley, MA,"1,444"
9330,330,South Fork, PA,"1,009"
9331,329,Estelline, SD,818
9332,329,Buffalo, OK,"1,397"
9333,329,Rumson, NJ,"7,045"
9334,328,Kasson, MN,"6,017"
9335,328,Sugar Grove, IL,"9,096"
9336,328,Bedford, MA,0
9337,327,Northport, NY,"7,417"
9338,327,Alderson, WV,990
9339,327,Hagan, GA,884
9340,327,Jupiter Inlet Colony, FL,411
9341,327,Tipton, MO,"3,290"
9342,327,Murphy, TX,"19,154"
9343,327,Leverett, MA,0
9344,326,Westwood, NJ,"11,056"
9345,326,Stonington, IL,889
9346,326,Surrey, ND,"1,027"
9347,326,Tidioute, PA,812
9348,325,New Philadelphia, PA,"1,070"
9349,325,Hickory, PA,793
9350,325,Laurel Park, NC,"2,696"
9351,325,Hillsborough, CA,"11,148"
9352,324,Colts Neck, NJ,0
9353,324,Hasbrouck Heights, NJ,"11,989"
9354,324,Diamond, IL,"2,764"
9355,324,Glen Cove, NY,"27,161"
9356,324,Highland Beach, FL,"3,614"
9357,324,Eastchester, NY,"19,800"
9358,323,Richmond, ME,"2,034"
